# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
150.9900,151.5000,150.2700,7823067,151.3401
150.0500,150.3200,149.4800,16055655,149.9300
150.1400,150.1799,149.2000,17580617,149.8500
147.4900,149.4300,146.6500,25192145,149.3100
151.8100,151.8300,148.3200,27473616,149.5500
152.1000,152.3000,151.2800,11977300,151.3800
152.3300,152.5000,151.5200,15201293,152.3200
151.3600,152.4200,151.3200,24635100,152.0300
150.0000,151.3500,149.9200,22428585,151.2300
150.0700,150.3000,148.8200,15841680,149.5900
149.4000,149.8000,148.5010,18576083,149.4800
150.3100,150.8400,148.4600,25720060,149.6200
150.8800,151.3300,150.1950,23960164,150.3900
150.0700,150.5500,148.9800,21554762,150.3400
148.9300,149.9900,148.2700,23508807,149.9700
147.0200,148.4100,147.0000,19755100,148.0600
146.7400,147.4625,146.2800,17444230,147.3100
146.2800,147.5700,146.0600,18648712,147.0700
145.3400,146.4200,144.7300,14370178,146.1100
143.9800,145.9900,143.7600,16752939,145.9600
143.8400,144.8800,143.7700,17786715,144.2600
144.3700,144.5200,143.2000,16575798,144.0600
144.9700,145.0200,143.9050,18250172,144.4600
144.8300,145.0000,144.1600,16911999,144.5500
144.2600,144.4200,142.9650,33128366,143.7200
144.9000,144.9300,142.9900,24605135,143.3700
143.5200,145.0000,142.7900,18496591,144.6100
144.0800,144.5000,142.6500,20589469,142.8300
144.4000,145.6700,143.5100,34912902,144.1900
139.3400,141.1400,139.2000,25959724,140.7300
139.3900,140.4200,138.6700,37278399,139.9400
136.8800,137.4500,135.6100,31380309,137.2400
138.9700,140.0100,136.2600,27935270,136.3700
138.4500,138.5000,137.0100,20078066,138.4300
139.7600,140.0000,136.5600,30650850,137.4100
140.9500,141.4200,139.0200,22102797,139.6900
140.7900,140.9900,139.5300,20841687,140.4100
140.0600,141.7900,139.8100,19917762,141.5750
139.6900,140.2900,139.5200,13591639,139.5500
140.1200,141.0300,139.5000,25551065,139.6800
138.4900,139.6699,138.2500,18396605,139.1000
137.4600,138.7000,136.9700,20178482,138.2400
137.0800,137.7600,135.6200,26783336,135.6700
137.1400,138.1800,137.0200,16601284,137.1200
136.7500,138.2500,136.4200,23839548,138.1200
134.9500,136.7500,133.2200,26379798,136.2800
136.2500,136.3700,133.5799,32001763,134.6500
139.6600,140.2500,137.0000,22581929,137.0700
138.0500,139.2150,137.7800,18430390,139.0300
140.1500,140.3600,136.6450,22498958,137.7300
139.4400,140.1800,138.4400,17813512,139.5400
137.5000,139.9580,136.0300,22544054,139.3600
140.3600,140.6900,136.8800,30016670,137.3800
139.2300,139.6300,138.4400,17408374,139.1400
141.0100,141.6500,138.2500,40040766,139.4400
140.3000,142.3700,140.0736,36095413,141.0700
137.3600,138.6700,136.5299,24473386,138.5200
136.9600,137.5200,136.4250,17976285,137.3900
135.8300,136.7000,135.6600,16731440,136.3300
137.7800,138.0600,136.5700,23363057,137.3200
137.8500,138.4200,136.8700,27009981,137.5200
135.9100,136.2700,135.0900,24726117,136.1200
136.8000,136.8862,134.5100,28903378,136.0800
139.5900,139.7500,136.4600,25773932,137.5200
140.0300,140.1800,138.2000,20824504,139.1000
139.1100,140.3837,138.7600,26119520,140.0500
137.3000,137.6900,136.4800,18015310,137.6300
136.6100,137.2000,135.7000,18880773,136.0400
139.1500,139.1800,136.2700,23946123,137.8600
137.2500,138.4400,136.9100,20179716,138.1200
134.8800,135.7600,133.5500,17343042,135.5600
136.3900,136.7200,134.6600,23115635,135.7400
134.9900,135.5600,133.9000,20325271,135.4500
137.1897,138.3500,132.8000,38515386,133.3900
138.6600,139.2000,136.2900,18709662,137.7800
138.5500,139.4935,138.0000,14982314,138.7900
138.2100,138.7100,137.2400,21188998,137.2600
137.8550,138.5500,136.8850,24370543,138.4100
134.8800,136.4600,134.7200,25026151,136.1300
134.3900,134.5800,132.2500,28125416,133.6800
136.3600,136.9200,133.6700,32527251,133.9800
136.0500,138.8000,135.0000,25496593,138.6000
137.0700,137.8600,135.2400,20484348,135.7900
138.6100,139.3800,136.4600,23466701,137.7100
136.6000,138.9900,135.9300,27496508,138.8900
133.7900,135.6500,131.8284,33414539,135.2800
133.8000,135.6800,133.2100,32696651,134.6900
133.3000,133.9298,130.7800,42749551,132.2100
138.0900,138.3200,135.2600,30791624,136.9000
137.0000,140.9383,136.9300,40557502,138.0600
140.3300,140.4900,135.0800,38598786,136.2700
140.1400,141.2199,139.8005,16846528,140.3500
141.5000,141.5100,139.3663,16605870,141.0300
140.3700,141.6750,140.3000,19037600,141.3400
140.4300,140.6100,139.3215,18356859,140.1900
138.9000,140.7400,138.8500,20738275,140.7200
139.7600,139.9900,138.0300,18034589,139.2900
137.4100,139.1900,137.3300,25080760,138.4300
140.2200,140.6700,136.4500,48992364,136.6200
135.5500,136.6200,134.6700,30808707,136.4200
